name,price,img,rating,reviews,link,category,subcategory
Gentle Organics 7 in 1 Whitening Facial Scrub,1250.00,https://static-01.daraz.pk/p/9a1359293c570db97a51bb27aa1ca875.jpg,4.7,No reviews available,//www.daraz.pk/products/1-7-i433531853-s2081058163.html?search=1,Health & Beauty,skincare
Liven Neem Foaming Facewash,790.00,https://static-01.daraz.pk/p/c62bb3b73d5c8d98c25abf1510085fe7.jpg,5,No reviews available,//www.daraz.pk/products/-i426581899-s2024741092.html?search=1,Health & Beauty,skincare
Dr Romia Lucento Anti Dark Circles Eye Cream,800.00,https://static-01.daraz.pk/p/af247f7d42b4436bf898542f97247f77.jpg,5,No reviews available,//www.daraz.pk/products/-i130301835-s1290126924.html?search=1,Health & Beauty,skincare
COSRX Korean Advanced Snail 96 Mucin Essence + Snail 92 All in One Cream pack of 2,5499.00,https://static-01.daraz.pk/p/385dc5178381ec5c2faf1c6cb5363570.jpg,5,No reviews available,//www.daraz.pk/products/cosrx-korean-advanced-snail-96-mucin-essence-snail-92-all-in-one-cream-pack-of-2-i481878689-s2264468839.html?search=1,Health & Beauty,skincare
Green Mask Clay Stick for Tight Of Pores Deep cleansing clay mask Blackhead Removal And Oil Control Purifying Cleansing Stick Green Tea mask,289.00,https://static-01.daraz.pk/p/7e3777c8bc7622d9b4bc0eb613e05b7a.png,2.8,No reviews available,//www.daraz.pk/products/-i487908902-s2294293223.html?search=1,Health & Beauty,skincare
dermacose professional brightening glow facial kit 12 pack 200ml,6999.00,https://static-01.daraz.pk/p/2bd953bc3b03ad0b6f80e6d631d2ab2d.png,4.6,No reviews available,//www.daraz.pk/products/12-200-i435940961-s2133796376.html?search=1,Health & Beauty,skincare
dermacos 10 steps complete skin glowing facial kit,5749.00,https://pk-live-21.slatic.net/kf/Sfb2598e2e2af46c3ba8e8e824a0798abD.jpg,3.7,No reviews available,//www.daraz.pk/products/10-i427004181-s2068738575.html?search=1,Health & Beauty,skincare
Derma-Shin facial kit Pack of 6 tube (100% original products ) 70ml Each,1699.00,https://static-01.daraz.pk/p/2da7b9e459447778961caa859bea015c.jpg,4.9,No reviews available,//www.daraz.pk/products/6-100-70-i496408675-s2374832002.html?search=1,Health & Beauty,skincare
Gentle Organics 7 in 1 Whitening Facial Scrub,1250.00,https://static-01.daraz.pk/p/9a1359293c570db97a51bb27aa1ca875.jpg,4.7,No reviews available,//www.daraz.pk/products/1-7-i433531853-s2081058163.html?search=1,Health & Beauty,skincare
Liven Neem Foaming Facewash,790.00,https://static-01.daraz.pk/p/c62bb3b73d5c8d98c25abf1510085fe7.jpg,5,No reviews available,//www.daraz.pk/products/-i426581899-s2024741092.html?search=1,Health & Beauty,skincare
Johnson White Cosmetic Whitening Bleaching Serum (50ml),999.00,https://pk-live-21.slatic.net/kf/S2580095682b6495ab374a474a0839498i.jpg,5,No reviews available,//www.daraz.pk/products/johnson-white-cosmetic-whitening-bleaching-serum-50ml-i431461331-s2172450614.html?search=1,Health & Beauty,skincare
EYE LASHES GROWTH SERUM,799,https://static-01.daraz.pk/p/5975e6a6e806dffa2398faa955ef0837.jpg,4.2,No reviews available,//www.daraz.pk/products/-i214715160-s1423719331.html?search=1,Health & Beauty,skincare
Green Mask Clay Stick for Tight Of Pores Deep cleansing clay mask Blackhead Removal And Oil Control Purifying Cleansing Stick Green Tea mask,289.00,https://static-01.daraz.pk/p/7e3777c8bc7622d9b4bc0eb613e05b7a.png,2.8,No reviews available,//www.daraz.pk/products/-i487908902-s2294293223.html?search=1,Health & Beauty,skincare
dermacose professional brightening glow facial kit 12 pack 200ml,6999.00,https://static-01.daraz.pk/p/2bd953bc3b03ad0b6f80e6d631d2ab2d.png,4.6,No reviews available,//www.daraz.pk/products/12-200-i435940961-s2133796376.html?search=1,Health & Beauty,skincare
dermacos 10 steps complete skin glowing facial kit,5749.00,https://pk-live-21.slatic.net/kf/Sfb2598e2e2af46c3ba8e8e824a0798abD.jpg,3.7,No reviews available,//www.daraz.pk/products/10-i427004181-s2068738575.html?search=1,Health & Beauty,skincare
Derma-Shin facial kit Pack of 6 tube (100% original products ) 70ml Each,1699.00,https://static-01.daraz.pk/p/2da7b9e459447778961caa859bea015c.jpg,4.9,No reviews available,//www.daraz.pk/products/6-100-70-i496408675-s2374832002.html?search=1,Health & Beauty,skincare
Gentle Organics 7 in 1 Whitening Facial Scrub,1250.00,https://static-01.daraz.pk/p/9a1359293c570db97a51bb27aa1ca875.jpg,4.7,No reviews available,//www.daraz.pk/products/1-7-i433531853-s2081058163.html?search=1,Health & Beauty,skincare
Gentle Organics 7 in 1 Whitening Facial Scrub,1250.00,https://static-01.daraz.pk/p/9a1359293c570db97a51bb27aa1ca875.jpg,4.7,No reviews available,//www.daraz.pk/products/1-7-i433531853-s2081058163.html?search=1,Health & Beauty,skincare
Liven Neem Foaming Facewash,790.00,https://static-01.daraz.pk/p/c62bb3b73d5c8d98c25abf1510085fe7.jpg,5,No reviews available,//www.daraz.pk/products/-i426581899-s2024741092.html?search=1,Health & Beauty,skincare
Dr Romia Lucento Anti Dark Circles Eye Cream,800.00,https://static-01.daraz.pk/p/af247f7d42b4436bf898542f97247f77.jpg,5,No reviews available,//www.daraz.pk/products/-i130301835-s1290126924.html?search=1,Health & Beauty,skincare
COSRX Korean Advanced Snail 96 Mucin Essence + Snail 92 All in One Cream pack of 2,5499.00,https://static-01.daraz.pk/p/385dc5178381ec5c2faf1c6cb5363570.jpg,5,No reviews available,//www.daraz.pk/products/cosrx-korean-advanced-snail-96-mucin-essence-snail-92-all-in-one-cream-pack-of-2-i481878689-s2264468839.html?search=1,Health & Beauty,skincare
ZOZU Deep Nourishing Eye Skin Care Moisturizing Avocado Eye Mask For Dark Circles,625.00,https://static-01.daraz.pk/p/720227b87b90d5eb19a690806967d1c5.jpg,4.7,No reviews available,//www.daraz.pk/products/zozu-deep-nourishing-eye-skin-care-moisturizing-avocado-eye-mask-for-dark-circles-i246889486-s1464817413.html?search=1,Health & Beauty,skincare
Glow and Clean 3 in 1 Pack,1798.00,https://static-01.daraz.pk/p/1584c03564465ec77c64fde68e43e093.jpg,4.5,No reviews available,//www.daraz.pk/products/1-3-i416730950-s2103141946.html?search=1,Health & Beauty,skincare
BIOAQUA Nenhong Pink Body Cream Lips Underarm Cream 30gm,550.00,https://static-01.daraz.pk/p/d3377f293353ac7adf7dc6197f3d99b4.jpg,4.6,No reviews available,//www.daraz.pk/products/bioaqua-nenhong-pink-body-cream-lips-underarm-cream-30gm-i204014051-s1404412840.html?search=1,Health & Beauty,skincare
Nose Pore Strips Pink Pack of 6,450.00,https://pk-live-21.slatic.net/kf/S8e4f4da7310f4718b3ca58ad5f092f50l.jpg,3.8,No reviews available,//www.daraz.pk/products/6-i438136418-s2118973579.html?search=1,Health & Beauty,skincare
Johnson White Cosmetic Whitening Bleaching Serum (50ml),999.00,https://pk-live-21.slatic.net/kf/S2580095682b6495ab374a474a0839498i.jpg,5,No reviews available,//www.daraz.pk/products/johnson-white-cosmetic-whitening-bleaching-serum-50ml-i431461331-s2172450614.html?search=1,Health & Beauty,skincare
EYE LASHES GROWTH SERUM,799,https://static-01.daraz.pk/p/5975e6a6e806dffa2398faa955ef0837.jpg,4.2,No reviews available,//www.daraz.pk/products/-i214715160-s1423719331.html?search=1,Health & Beauty,skincare
Green Mask Clay Stick for Tight Of Pores Deep cleansing clay mask Blackhead Removal And Oil Control Purifying Cleansing Stick Green Tea mask,289.00,https://static-01.daraz.pk/p/7e3777c8bc7622d9b4bc0eb613e05b7a.png,2.8,No reviews available,//www.daraz.pk/products/-i487908902-s2294293223.html?search=1,Health & Beauty,skincare
dermacose professional brightening glow facial kit 12 pack 200ml,6999.00,https://static-01.daraz.pk/p/2bd953bc3b03ad0b6f80e6d631d2ab2d.png,4.6,No reviews available,//www.daraz.pk/products/12-200-i435940961-s2133796376.html?search=1,Health & Beauty,skincare
dermacos 10 steps complete skin glowing facial kit,5749.00,https://pk-live-21.slatic.net/kf/Sfb2598e2e2af46c3ba8e8e824a0798abD.jpg,3.7,No reviews available,//www.daraz.pk/products/10-i427004181-s2068738575.html?search=1,Health & Beauty,skincare
