name,price,img
Samsung Galaxy Fold 5 12 GB+512GB,544999.00,https://static-01.daraz.pk/p/f53c9503989ba00847709c43b69b103b.jpg
"Samsung Galaxy A05 || 4GB Ram 64GB Rom || 6.7"" HD+ Display || Mediatek Helio G85 (12nm) || 5000 mAh- Fast charging 25W wired",24999.00,https://static-01.daraz.pk/p/0fe8facb880c5ecbbadc4f87140e39a3.jpg
Samsung S22 Plus 8GB Ram 128GB Rom Dual Sim,136000.00,https://pk-live-21.slatic.net/kf/S853b7aa9f1ad490cbb141154e25b7c09f.jpg
Samsung Galaxy S22 ultra 12/256 12/512 Dual sim CPID Pta Approved,196500,https://pk-live-21.slatic.net/kf/Sc2f5d4239691404c82b859b2cd2e80a92.jpg
Samsung Galaxy S22 ultra 12/256 12/512 Dual sim CPID Pta Approved,196500,https://pk-live-21.slatic.net/kf/Sc2f5d4239691404c82b859b2cd2e80a92.jpg
Samsung Galaxy Flip 5 8GB + 512GB,314999.00,https://static-01.daraz.pk/p/00b3c8de754a5a028a5edba4373363d7.jpg
Samsung Galaxy S22 ultra 12/256 12/512 Dual sim CPID Pta Approved,196500,https://pk-live-21.slatic.net/kf/Sc2f5d4239691404c82b859b2cd2e80a92.jpg
Samsung Galaxy A05s - 6GB Ram 128GB Rom - 5000mAh Battery,44550.00,https://static-01.daraz.pk/p/a24490e7392ef729eb4db9818f93bb28.jpg
SAMSUNG GALAXY S20 12/128 gb non pta,68000.00,https://pk-live-21.slatic.net/kf/Sfcbb36a04dd34fb4bc44a32e88d2eec2T.jpg
Samsung Galaxy A35 5G RAM 8 GB ROM 256 GB Front Camera	13 MP Back Camera 50 MP + 8 MP + 5 MP   Battery Type	5000 mAh,120000.00,https://static-01.daraz.pk/p/77460f49f58437b27888111d5c61fd47.png
"Samsung Galaxy A03 - 6.5"" Inch Display - 4GB RAM - 64GB ROM",21999.00,https://static-01.daraz.pk/p/94160a264b4168f1b40dff65aa988148.jpg
"Samsung Galaxy A05 - 6.7"" Inch Display - 4GB RAM - 64GB ROM",25850.00,https://static-01.daraz.pk/p/016275bb516dd68d918d2b9f9443aad6.jpg
"Samsung Galaxy A05 - 6.7"" Inch Display - 4GB RAM - 64GB ROM",25850.00,https://static-01.daraz.pk/p/016275bb516dd68d918d2b9f9443aad6.jpg
"Samsung Galaxy A34 , 5G , 8GB Ram 256GB Rom , 6.6 Inches AMOLED Display 120Hz , 5000 mAh-Fast battery 25W wired",110999.00,https://static-01.daraz.pk/p/8615a8b77da43de4d89a066a340f7626.jpg
Samsung Galaxy A15 RAM 8 GB ROM 256 GB Front Camera	13 MP Back Camera 50 MP + 5 MP + 2 MP,59999.00,https://static-01.daraz.pk/p/74e0d5fc49bbb8002a94a9db0e8756ad.png
Samsung Galaxy A05 RAM 4 GB ROM 64 GB Front Camera	8 MP Back Camera	50.0 MP + 2.0 MP   Battery Type	5000 mAh,25999.00,https://static-01.daraz.pk/p/67e8b74e62c4ff486376ba6ddb61ac03.png
Samsung Galaxy Tab E - 1.5GB RAM - 16GB ROM - Android 7 - FREE TABLET COVER,10999.00,https://static-01.daraz.pk/p/d9e4227f293234bcdec8c5795cb16ec4.jpg
Samsung Galaxy S22 ultra 12/256 12/512 Dual sim CPID Pta Approved,196500,https://pk-live-21.slatic.net/kf/Sc2f5d4239691404c82b859b2cd2e80a92.jpg
"Samsung A25 5G - 8GB RAM 256GB ROM - 6.5 Inches Super AMOLED Display -  13MP Front Camera  - 50MP+8MP+2MP Triple Rear Camera - Dual SIM - 5000 mAh, non-removable",93499.00,https://static-01.daraz.pk/p/dad74bfffb6b584e8227e28e2d210458.jpg
"Samsung Galaxy Tab S6 Lite - 10.4"" Inch Display - WiFi - 4GB RAM - 128GB ROM",85999.00,https://static-01.daraz.pk/p/904273f7a50aecc23aa6c0b267448c05.jpg
Samsung Galaxy A05s - 6GB Ram 128GB Rom - 5000mAh Battery,44550.00,https://static-01.daraz.pk/p/a24490e7392ef729eb4db9818f93bb28.jpg
"Samsung Galaxy A55 5G - 8GB/256GB - 6.6"" Display - 5000 mAh Battery",139999.00,https://static-01.daraz.pk/p/c27ad3e64cd0d0b3409bc0aef6792dd4.jpg
"Samsung Galaxy Tab S6 Lite - 10.4"" Inch Display - WiFi - 4GB RAM - 128GB ROM",85999.00,https://static-01.daraz.pk/p/904273f7a50aecc23aa6c0b267448c05.jpg
Samsung Galaxy S24 ultra 12 GB RAM + 1 TB Storage,541999.00,https://static-01.daraz.pk/p/9d09c5d96d87d1a6db5c8ecefced36a7.jpg
"Samsung Galaxy A05s  4GB RAM-128GB ROM  6.7"" FHD+ 90Hz display 5000mAh long-lasting battery",37299.00,https://static-01.daraz.pk/p/d7db36bb3ff501a9cd7e4b483ebff77a.jpg
SAMSUNG GALAXY S20 12/128 gb non pta,68000.00,https://pk-live-21.slatic.net/kf/Sfcbb36a04dd34fb4bc44a32e88d2eec2T.jpg
Samsung Galaxy A25 5G 8GB RAM + 256GB ROM,98500.00,https://static-01.daraz.pk/p/f0ad304ac6520c3cb6b1e5b353379a6b.jpg
Samsung Galaxy S22 Ultra 12/256  12/512 Pta Approved,220000.00,https://pk-live-21.slatic.net/kf/Scba13ec33ce84b5394a96dc4bfd2725es.jpg
